fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET&DX,Only APOE,Baseline model,0.6875,0.764705882352941,0.68421052631579,0.722222222222222,0.706477732793522
2,PET&DX,Only APOE,Baseline model,0.625,0.68421052631579,0.68421052631579,0.68421052631579,0.605263157894737
3,PET&DX,Only APOE,Baseline model,0.6875,0.785714285714286,0.611111111111111,0.6875,0.704365079365079
4,PET&DX,Only APOE,Baseline model,0.75,0.727272727272727,0.888888888888889,0.8,0.722222222222222
5,PET&DX,Only APOE,Baseline model,0.8125,0.833333333333333,0.833333333333333,0.833333333333333,0.775793650793651
6,PET&DX,Only APOE,Baseline model,0.625,0.666666666666667,0.666666666666667,0.666666666666667,0.547619047619048
7,PET&DX,Only APOE,Baseline model,0.78125,0.789473684210526,0.833333333333333,0.810810810810811,0.813492063492063
8,PET&DX,Only APOE,Baseline model,0.774193548387097,0.866666666666667,0.722222222222222,0.787878787878788,0.814102564102564
9,PET&DX,Only APOE,Baseline model,0.67741935483871,0.785714285714286,0.611111111111111,0.6875,0.655982905982906
10,PET&DX,Only APOE,Baseline model,0.645161290322581,0.652173913043478,0.833333333333333,0.731707317073171,0.555555555555556
